# provenance: run=20260630T0538__10ep_3bb script=paper/figures/scripts/extract_htraj.py backbone=llama-3.2-11b-vision fault=hallucination__position_worst_user_direct baselines=['b0', 'b2'] n_episodes=10
series,ep,t,dist,r,h,r_min,r_max
B0 (no filter),0,0.0,1.7575,1.8,-0.0425,0.9,1.8
B0 (no filter),0,0.0202,1.7578,1.8,-0.0422,0.9,1.8
B0 (no filter),0,0.0406,1.758,1.8,-0.042,0.9,1.8
B0 (no filter),0,0.06,1.7583,1.8,-0.0417,0.9,1.8
B0 (no filter),0,0.0804,1.7586,1.8,-0.0414,0.9,1.8
B0 (no filter),0,0.1001,1.7589,1.8,-0.0411,0.9,1.8
B0 (no filter),0,0.1216,1.759,1.8,-0.041,0.9,1.8
B0 (no filter),0,0.14,1.7593,1.8,-0.0407,0.9,1.8
B0 (no filter),0,0.1603,1.7594,1.8,-0.0406,0.9,1.8
B0 (no filter),0,0.1799,1.7596,1.8,-0.0404,0.9,1.8
B0 (no filter),0,0.2012,1.7597,1.8,-0.0403,0.9,1.8
B0 (no filter),0,0.22,1.7598,1.8,-0.0402,0.9,1.8
B0 (no filter),0,0.2401,1.7599,1.8,-0.0401,0.9,1.8
B0 (no filter),0,0.2598,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.28,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.3,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.3198,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.34,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.3602,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.3801,1.7599,1.8,-0.0401,0.9,1.8
B0 (no filter),0,0.4009,1.7599,1.8,-0.0401,0.9,1.8
B0 (no filter),0,0.4205,1.7599,1.8,-0.0401,0.9,1.8
B0 (no filter),0,0.4402,1.7599,1.8,-0.0401,0.9,1.8
B0 (no filter),0,0.4614,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.4804,1.76,1.8,-0.04,0.9,1.8
B0 (no filter),0,0.5007,1.7601,1.8,-0.0399,0.9,1.8
B0 (no filter),0,0.5202,1.7602,1.8,-0.0398,0.9,1.8
B0 (no filter),0,0.5402,1.7604,1.8,-0.0396,0.9,1.8
B0 (no filter),0,0.5601,1.7605,1.8,-0.0395,0.9,1.8
B0 (no filter),0,0.5813,1.7608,1.8,-0.0392,0.9,1.8
B0 (no filter),0,0.601,1.7611,1.8,-0.0389,0.9,1.8
B0 (no filter),0,0.6206,1.7614,1.8,-0.0386,0.9,1.8
B0 (no filter),0,0.6402,1.7617,1.8,-0.0383,0.9,1.8
B0 (no filter),0,0.6612,1.7621,1.8,-0.0379,0.9,1.8
B0 (no filter),0,0.6804,1.7624,1.8,-0.0376,0.9,1.8
B0 (no filter),0,0.7004,1.7629,1.8,-0.0371,0.9,1.8
B0 (no filter),0,0.7207,1.7633,1.8,-0.0367,0.9,1.8
B0 (no filter),0,0.7399,1.7638,1.8,-0.0362,0.9,1.8
B0 (no filter),0,0.76,1.7641,1.8,-0.0359,0.9,1.8
B0 (no filter),0,0.7805,1.7647,1.8,-0.0353,0.9,1.8
B0 (no filter),0,0.8005,1.765,1.8,-0.035,0.9,1.8
B0 (no filter),0,0.8205,1.7656,1.8,-0.0344,0.9,1.8
B0 (no filter),0,0.84,1.766,1.8,-0.034,0.9,1.8
B0 (no filter),0,0.8607,1.7665,1.8,-0.0335,0.9,1.8
B0 (no filter),0,0.8806,1.7669,1.8,-0.0331,0.9,1.8
B0 (no filter),0,0.9001,1.7675,1.8,-0.0325,0.9,1.8
B0 (no filter),0,0.9201,1.7678,1.8,-0.0322,0.9,1.8
B0 (no filter),0,0.9403,1.7684,1.8,-0.0316,0.9,1.8
B0 (no filter),0,0.9605,1.7687,1.8,-0.0313,0.9,1.8
B0 (no filter),0,0.9813,1.7691,1.8,-0.0309,0.9,1.8
B0 (no filter),0,1.0009,1.7694,1.8,-0.0306,0.9,1.8
B0 (no filter),0,1.0207,1.7698,1.8,-0.0302,0.9,1.8
B0 (no filter),0,1.0399,1.77,1.8,-0.03,0.9,1.8
